demand,phase,variant,before,after,facility,delta,relative,se,upper95,lower95,seven_day_extra_income,facility_price,seven_day_net
flat,0,baseline,22,54,12006,4712.24375,0.6794565854098139,79.50123771396021,4868.066175919362,4556.4213240806375,263885.64999999997,198000,65885.64999999997
flat,0,baseline,23,31,12004,15.075,0.0023869710175668003,25.99414949918658,66.0235330184057,-35.873533018405695,844.1999999999999,42000,-41155.8
flat,0,baseline,23,55,12006,4374.779166666666,0.6927012324436731,79.06891524435552,4529.754240545603,4219.804092787729,244987.6333333333,198000,46987.6333333333
flat,0,baseline,24,25,12001,-1199.7145833333334,-0.13282949147186332,36.8917750084838,-1127.4067043167051,-1272.0224623499616,-67184.01666666666,18000,-85184.01666666666
flat,0,baseline,24,26,12002,-1351.2791666666667,-0.1496103548613666,40.66121731929112,-1271.583180720856,-1430.9751526124774,-75671.63333333333,39000,-114671.63333333333
flat,0,baseline,24,28,12003,-1312.8520833333334,-0.14535580131269527,41.18242748707088,-1232.1345254586745,-1393.5696412079924,-73519.71666666667,46000,-119519.71666666667
flat,0,baseline,24,56,12006,5628.089583333333,0.6231284404621997,77.5223005943776,5780.033292498313,5476.145874168354,315173.01666666666,198000,117173.01666666666
flat,0,baseline,25,27,12002,-948.6416666666667,-0.12111955551441525,35.66504763912729,-878.7381732939772,-1018.5451600393561,-53123.933333333334,39000,-92123.93333333333
flat,0,baseline,25,29,12003,-884.6666666666666,-0.11295143067201632,36.562471676603614,-813.0042221805236,-956.3291111528097,-49541.33333333333,46000,-95541.33333333333
flat,0,baseline,25,57,12006,5142.425,0.6565684938284215,78.32495505114595,5295.941911900246,4988.908088099754,287975.8,198000,89975.79999999999
flat,0,baseline,26,27,12001,-797.0770833333333,-0.10377647900951002,31.36874037686505,-735.5943521946779,-858.5598144719888,-44636.316666666666,18000,-62636.316666666666
flat,0,baseline,26,30,12003,-780.34375,-0.10159786109195086,35.642088217330596,-710.485257094032,-850.202242905968,-43699.25,46000,-89699.25
flat,0,baseline,26,58,12006,4970.341666666666,0.6471200445054318,78.77616424838921,5124.742948593509,4815.9403847398235,278339.1333333333,198000,80339.1333333333
flat,0,baseline,27,31,12003,-553.0229166666667,-0.08033881089928284,32.493049637894856,-489.33653937639275,-616.7092939569405,-30969.283333333333,46000,-76969.28333333333
flat,0,baseline,27,59,12006,4539.145833333333,0.6594113331622351,78.263622763525,4692.542533949842,4385.749132716824,254192.16666666666,198000,56192.16666666666
flat,0,baseline,28,29,12001,-771.5291666666667,-0.09995017793978495,29.24964063764091,-714.1998710168905,-828.8584623164429,-43205.63333333333,18000,-61205.63333333333
flat,0,baseline,28,30,12002,-818.7708333333334,-0.10607024856511926,32.2480644592423,-755.5646269932184,-881.9770396734483,-45851.16666666667,39000,-84851.16666666667
flat,0,baseline,28,60,12006,4646.88125,0.6019948796092828,77.11646190293906,4798.029515329761,4495.73298467024,260225.35000000003,198000,62225.350000000035
flat,0,baseline,29,31,12002,-616.9979166666667,-0.08880723942171946,29.36631639270844,-559.4399365369582,-674.5558967963752,-34551.88333333333,39000,-73551.88333333333
flat,0,baseline,29,61,12006,4325.435416666666,0.6225790529834607,76.74360355619213,4475.852879636803,4175.01795369653,242224.3833333333,198000,44224.3833333333
flat,0,baseline,30,31,12001,-569.75625,-0.08256898184154465,25.84215336447378,-519.1056294056314,-620.4068705943687,-31906.350000000002,18000,-49906.350000000006
flat,0,baseline,30,62,12006,4133.977083333333,0.5990952775456376,75.91574984816832,4282.7719530357435,3985.1822136309233,231502.71666666667,198000,33502.716666666674
flat,0,baseline,31,63,12006,3898.6916666666666,0.6158476687180969,75.89860682394719,4047.452936041603,3749.93039729173,218326.73333333334,198000,20326.733333333337
flat,0,baseline,32,33,12001,-2673.085416666667,-0.1697948589415368,72.75830699967977,-2530.4791349472944,-2815.691698386039,-149692.78333333333,18000,-167692.78333333333
flat,0,baseline,32,34,12002,-3206.6541666666667,-0.20368724041090144,81.4713615383417,-3046.970298051517,-3366.3380352818162,-179572.63333333333,39000,-218572.63333333333
flat,0,baseline,32,36,12003,-3320.775,-0.21093621594954592,82.67496988294343,-3158.732059029431,-3482.817940970569,-185963.4,46000,-231963.4
flat,0,baseline,32,40,12004,-1688.05625,-0.1072256318735779,69.922450839972,-1551.008246353655,-1825.1042536463451,-94531.15000000001,42000,-136531.15000000002
